transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
378537,3,8380,29,8380.jpg,0,501.0,0.0,19,2,0,Collins,16.4,False,21,452,False,James,0,100,-3,0,45.4,3,7,71.6,69,0,399814,a,0.0,0,0,42,3.1,6,0,4.5,0.0,0,,217,0,2,1,0,0,0,364,2,4.5,169.0,20,100,1655,Collins,0
290254,8,48717,48,48717.jpg,0,793.6,0.0,2,2,0,Reid,20.8,False,21,453,False,Winston,0,75,-1,0,104.4,1,16,104.0,102,0,282720,d,0.0,0,0,49,3.4,9,3,2.4,0.0,0,Knee injury - 75% chance of playing,294,0,2,0,1,0,0,622,2,0.0,141.0,20,0,2587,Reid,0
39280,2,55459,35,55459.jpg,0,307.6,0.0,3,0,0,Cresswell,11.8,False,21,454,False,Aaron,0,100,-4,0,284.7,4,1,71.2,60,0,35126,a,0.0,0,0,51,2.3,5,2,0.3,0.0,0,,514,0,0,2,1,0,0,334,2,2.0,121.0,20,100,2115,Cresswell,0
19991,0,173792,0,173792.jpg,0,0.0,0.0,35,0,0,Oxford,0.0,False,21,455,False,Reece,0,0,-3,0,0.0,3,0,0.0,0,0,2706,u,0.0,0,0,42,0.0,0,0,0.3,0.0,0,Joined Reading on loan from 31/1 until the end of the season,28,0,0,0,0,0,0,0,2,0.0,0.0,20,0,0,Oxford,0
49835,2,40669,31,40669.jpg,0,384.4,0.0,21,0,0,Ogbonna,9.6,False,21,456,False,Angelo,0,100,-3,0,82.4,3,2,51.6,45,0,20365,a,0.0,0,0,47,2.3,4,0,0.7,0.0,0,,284,0,0,2,0,0,0,322,2,0.0,51.0,20,100,1755,Ogbonna,0
35188,5,113564,27,113564.jpg,0,202.2,0.0,22,0,0,Byram,6.9,False,21,457,False,Sam,0,100,-3,0,118.2,3,2,39.4,29,0,18111,a,0.0,0,0,42,1.6,3,1,0.3,0.0,0,,39,0,0,2,1,0,0,198,2,1.3,72.0,20,100,1249,Byram,0
132809,10,18073,40,18073.jpg,0,342.0,0.0,16,3,0,Noble,11.5,False,21,458,False,Mark,0,75,-3,0,384.8,3,5,95.9,71,1,22537,d,0.0,0,0,62,2.4,8,0,1.2,0.0,0,Abdominal injury - 75% chance of playing,581,0,1,0,0,0,0,389,3,0.0,233.0,20,0,2389,Noble,0
95857,3,55037,46,55037.jpg,0,458.8,0.0,8,1,0,Kouyaté,15.8,False,21,459,False,Cheikhou,0,75,-5,0,147.4,5,3,80.5,79,0,25901,d,0.0,0,0,50,2.5,9,1,0.7,0.0,0,Wrist Injury - 75% chance of playing,498,0,0,0,0,0,0,438,3,0.0,200.0,20,0,2723,Kouyaté,0
47110,7,59779,32,59779.jpg,0,311.4,0.0,14,1,0,Obiang,12.8,False,21,460,False,Pedro,0,75,-2,0,131.3,2,6,49.4,55,0,45243,d,0.0,0,0,43,2.5,4,2,0.3,0.0,0,Ankle injury - 75% chance of playing,163,0,1,0,0,0,0,331,3,0.0,52.0,20,0,1763,Obiang,0
978867,2,37901,28,37901.jpg,0,414.0,0.0,27,2,0,Payet,9.0,False,21,461,False,Dimitri,0,0,-5,0,1096.6,5,10,202.6,81,0,248703,u,0.0,0,0,90,4.5,4,8,6.2,0.0,0,Transferred to Marseille,701,0,1,0,0,0,0,347,3,0.0,516.0,20,0,1513,Payet,0
